1,male,Don,M,Morin,JR,4670 Wright Court,Birmingham,AL,35205,Sholeake,205-918-3956,1,4/11/99,421-21-0041,159.3,"5' 10""",4,chu8ooHahNg7a
2,male,Albert,C,Eliasson,SR,3414 Caldwell Road,Brighton,NY,14623,Restroulner96,585-291-5943,1,4/12/96,072-03-2073,133.3,"5' 11""",16,Jie1thaixai
3,female,Wan,S,Tsou,SP,2859 Myra Street,North Kingstown,RI,2852,Ammign,401-474-9286,1,10/10/00,038-66-3698,172,"5' 0""",2,kaaHek4Zie
4,male,Wen,B,Liu,JR,1188 Stonepot Road,Jackson,NJ,8537,Rundepress98,908-430-2678,1,4/14/98,151-92-9847,163.9,"5' 9""",23,Uoquohdao3
5,female,Dahlia,O,Roybal,JR,2764 Glen Street,Temple Hill,KY,42141,Enbad1999,270-427-3321,1,10/2/99,401-08-4780,166.5,"4' 11""",25,Eek7Uvohsh
6,male,Luca,K,Hayward,SP,894 Southern Street,Glen Cove,NY,11542,Courbeacced00,516-656-3127,1,7/11/00,119-56-8565,185,"5' 7""",1,Asi1rohri8M
7,female,Débora,E,Cruz,JR,756 Reynolds Alley,Los Angeles,CA,90017,Thourn,562-343-7434,1,11/12/98,616-39-0363,159.3,"5' 7""",3,ouhie5ua7Ya
8,male,Cevin,J,Nilsson,SR,4813 Adamsville Road,Mcallen,TX,78501,Moomed,956-683-2145,1,2/6/97,629-78-6885,176.2,"6' 1""",25,doo2EiPa8
9,male,Park,M,Chin,SR,4757 Maple Court,Caruthersville,MO,63830,Aunuentid,573-333-4188,1,6/11/96,487-56-5392,232.1,"5' 9""",24,sheed2Boh5
10,female,Zhen,S,Yüan,SP,3628 Roosevelt Road,Wichita,KS,67202,Capand,620-269-5056,1,11/17/00,513-10-3967,119,"5' 6""",8,EeV6aNg7
11,male,Sun,T,Chien,JR,4926 Hillcrest Circle,Crystal,MN,55429,Poss1998,763-504-5310,1,6/19/98,474-34-2914,216.9,"6' 1""",22,boh6ahSh7ah
12,male,Shi,P,Pai,SP,124 Wexford Way,Columbia,SC,29204,Auty2000,803-355-1221,1,2/18/00,249-15-2579,199.3,"5' 6""",19,AekieDei4z
13,female,Brígida,Y,Salas,FR,2997 Pinewood Avenue,Marquette,MI,49855,Yeting,906-762-3746,1,6/22/01,369-02-6844,166.1,"5' 3""",23,eej5wevoCh
